Title in English,Title in Arabic,Description,Author,Translator,Publishing House,Date of Publishing,Date of Translation,Translator Gender,Country,Source,Book Cover,Author Image,Genre,Traslator Country,Original Cover,Note,https://www.publishersweekly.com/pw/translation/search/index.html
Sayddi wa Habibi,,Abrdiged in English,Hoda Barakat,Laila Familiar,Georgetown University Press,,2013,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxCdLrhb6u_zqm6ICqwyhysQVYL7Ftdk2BqZnBfYKpuS8WnPNA,,,,,,
Blue Lorries,فرج,"Nada is no stranger to protest. She is five years old when her French mother takes her to visit her Egyptian father, a political activist with a passing resemblance to President Nasser, in prison. When he returns home five years later, a changed man, their little family begins to fracture and eventually Nada's mother moves back to Paris. Through her teenage years Nada is surrounded by the language of protest – 'anarchism', 'Trotskyism', 'communism' – and, one summer in Paris, she discovers the '68 movement and her first love. And how to slam doors in anger. The more things change, the more they stay the same. Through student sit-ins, imprisonments, passionate arguments, accidental alliances, fallen friends, joys and regrets, Nada's story grows into the story of Egypt's many celebrated activists such as Arwa and Siham. Moving, uplifting and deeply human, Radwa Ashour's masterpiece is the story of Egypt in the second half of the twentieth century and a paean to all those who choose a life of activism and quiet defiance.",Radwa Ashour,Barbara Romaine,Bloomsbury Qatar,2014,2015,woman,Egypt,https://www.goodreads.com/book/show/18049202-blue-lorries?from_search=true&rating=1&search_version=service,"https://images-na.ssl-images-amazon.com/images/I/51BLWcBDUfL._SX321_BO1,204,203,200_.jpg",https://images.gr-assets.com/authors/1274768270p8/1424397.jpg,Political Fiction,USA,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1517383322l/5781174._SX318_.jpg,,
Spectres,أطياف,"The fates of two Egyptian women who grew up during the turbulent, nationalistic 1950s and participated in the revolutionary student movement of the early 1970s intertwine in Ashour's meandering autobiographical novel. The narrator, ostensibly the author ""Radwa,"" born in 1946, returns to the time of her youth in Cairo, first in French grade school, then at Cairo University in the mid-1960s, by employing the parallel--and often intersecting--life of her character Shagar Abdel Ghaffar, a young woman born on the same day and year who attends the university as a history student and eventually becomes a professor. Shagar writes a book about the Israeli massacre at the Palestinian village of Deir Yassin that becomes the focus of Radwa's own research interest, which took the shape of Ashour's actual novel, Granada. The author draws pointed lessons from the defense of truth and intellectual freedom that Shagar stands for, though only American readers versed in recent Egyptian history will appreciate the nuances",Radwa Ashour,Barbara Romaine,Interlink Publishing Group,1999,2010,woman,Egypt,https://www.goodreads.com/en/book/show/5598805,https://productimages.worldofbooks.com/1906697256.jpg,https://images.gr-assets.com/authors/1274768270p8/1424397.jpg,fiction,USA,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1226426626l/5598805.jpg,,
Woman from Tantoura,الطنطورية,"Palestine. For most of us, the word brings to mind a series of confused images and disjointed associations—massacres, refugee camps, UN resolutions, settlements, terrorist attacks, war, occupation, checkered kuffiyehs and suicide bombers, a seemingly endless cycle of death and destruction. This novel does not shy away from such painful images, but it is first and foremost a powerful human story, following the life of a young girl from her days in the village of al-Tantoura in Palestine up to the dawn of the new century. We participate in events as they unfold, seeing them through the uneducated but sharply intelligent mind of Ruqayya, as she tries to make sense of all that has happened to her and her family. With her, we live her love of her land and of her people; we feel the repeated pain of loss, of diaspora, and of cross-generational misunderstanding; and above all, we come to know her indomitable human spirit. As we read we discover that we have become part of Ruqayya’s family, and her voice will remain with us long after we have closed the book.",Radwa Ashour,Kay Heikkinen,The American University in Cairo Press,2010,2014,woman,Egypt,https://www.goodreads.com/fr/book/show/27269009-the-woman-from-tantoura,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1445722601l/27269009._SY475_.jpg,https://images.gr-assets.com/authors/1274768270p8/1424397.jpg,political fiction,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1314481218l/8239301.jpg,,
Queue,الطابور,"In a surreal, but familiar, vision of modern day Egypt, a centralized authority known as ‘the Gate’ has risen to power in the aftermath of the ‘Disgraceful Events,’ a failed popular uprising. Citizens are required to obtain permission from the Gate in order to take care of even the most basic of their daily affairs, yet the Gate never opens, and the queue in front of it grows longer.
 
 Citizens from all walks of life mix and wait in the sun: a revolutionary journalist, a sheikh, a poor woman concerned for her daughter’s health, and even the brother of a security officer killed in clashes with protestors. Among them is Yehia, a man who was shot during the Events and is waiting for permission from the Gate to remove a bullet that remains lodged in his pelvis. Yehia’s health steadily declines, yet at every turn, officials refuse to assist him, actively denying the very existence of the bullet.
 
 Ultimately it is Tarek, the principled doctor tending to Yehia’s case, who must decide whether to follow protocol as he has always done, or to disobey the law and risk his career to operate on Yehia and save his life.
 
 Written with dark, subtle humor, The Queue describes the sinister nature of authoritarianism, and illuminates the way that absolute authority manipulates information, mobilizes others in service to it, and fails to uphold the rights of even those faithful to it.",Basma Abdel Aziz,Elisabeth Jaquette,Melville House Publishing,2013,2016,woman,Egypt,https://www.goodreads.com/book/show/30186905-the-queue,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598020325l/30186905._SX318_.jpg,https://foreignpolicy.com/wp-content/uploads/2016/12/aziz.jpg,satire,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360418585l/17343089.jpg,,
"Oh, Salaam!",يا سلام,"Najwa Barakat’s Oh, Salaam! tells the story of three friends—an explosives expert, a sniper, and a torturer—whose lives are transformed by their involvement in a civil war in an unnamed Arab country, and by their relationship with the novel’s anti-heroine, Salaam. Two of the friends live to see the end of the war but struggle to survive the arrival of peace and to make a life for themselves in a society that has no use for ex-paramilitaries. As the characters seek to find love, make it rich, or get out of the country alive, they use and torment each other, revealing the ultimate consequences of war and gender violence in a “city that no longer resembles itself.”",Najwa Barakat,Luke Leafgren,Interlink books,1999,2015,men,Lebanon,https://www.goodreads.com/book/show/22788730-oh-salaam,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1419661294l/22788730.jpg,,thriller,USA,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1269194991l/7892971.jpg,,
Pistachio Seller,بائع الفستق,"""It was Saturday. I remember. And while he was standing on a step ladder in the hall, changing a light bulb in the faint light coming through the window, I decided to love him."" So begins this wonderfully exuberant novel of quixotic adolescent longing and the enduring search for self. Set in middle class urban Egypt, the story chronicles young Wafaa’s struggle to come to terms with her own sexuality and her romantic infatuation with her cousin Ashraf, a spoiled and confident young Egyptian who was educated in England. Ashraf’s worldliness and carefree attitudes stand in sharp contrast to Wafaa’s provincial Islamic piousness. As both mature they find outside events encroaching upon their sheltered lives, forcing each to confront challenges to their youthful ideologies. Ashraf is chastened by an economic turnaround that takes him to the United States as an impoverished immigrant, and Wafaa begins to question her rigid fundamentalist beliefs that seem increasingly inadequate to make sense of the complex world around her.",Reem Bassiouney,Osman Nusairi,Syracuse University Press,2007,2009,man,Egypt,https://www.goodreads.com/en/book/show/7075074-pistachio-seller,https://m.media-amazon.com/images/I/51L9fv9UqZL.jpg,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAoHCBUVFRgVFhUYGBgYGBoYGBoYGhgYGhgYGBoaGRgYGBgcIS4lHB4rIRgYJjgmKy8xNTU1GiQ7QDs0Py40NTEBDAwMEA8QHBISHjQhJCQxNDQ0NDQ0NDQ0NDQ0MTE0NDQ0NDU0NDQ0NDQ0NDQ0NDQ0NDQ0NDE0NDQ0NDQ/NDQ0P//AABEIAK8BIAMBIgACEQEDEQH/xAAbAAACAwEBAQAAAAAAAAAAAAAEBQIDBgEAB//EADkQAAEDAgQEBAUEAQMEAwAAAAEAAhEDBAUSITFBUWFxBiKBkTKhsdHwExRCwfFScuEHYoKSFSMz/8QAGQEAAwEBAQAAAAAAAAAAAAAAAAECBAMF/8QAIhEAAgICAwADAAMAAAAAAAAAAAECESExAxJBIjJhE0JR/9oADAMBAAIRAxEAPwBmAu026roUqQ1Xjnq2VVW6o2gPKh6w1RND4U6FYvqDzeqZ0R5UuqfEmVH4U6FYnvviTPD9ktxD4kdhztAn4L0NuNllLr/9AtVX+FZa9+MJpClofWB0RzUusToj2lTRQlxoaFJsMMFOsa2Kyb7vICf89h911jFvCOcnTseYxjwoshmrzoOhWDubpz3F73FzjuZ/I7Ie/wAQL3Ek7oLMStnHBRRlnNyYS947rjaw5KDKRPCU5sMOa8atjrCqUqJjFsTPqOnn9QoOeeq0xwLXYmeiCucAeNhChckTo+KQnlSDvz82V1fCqjBJH1QIe4HUKk09EU1sIY9aHC8ZcW/pvMj+LuXQrNteD0VrCpnHsi4yo2SutPjCUYZd5hlduNPTqmtqfMFnlGsHZOzWWZ0RYKDs9kU1czoWgqYKqBVjUqAm0q1pVQXWuQALi58h7LAP+I9yt9ip8h7LBP3Pcq4kSIrhUlEhWSbZSpDVRldpnVZqO52vuiLb4ULcHVFWx8qaQANb4kxtz5UsuT5kfbO8qdALcS3RWGnQIPEd0Thp0Ton0ZVTosvf/GFpqh0WYxD4x3QkEtDmwOiPDktsDojg5FDsUY2/ymdgJK+bYreSXR2H9rZeNLzIwMB1eYXz+8bDR391q4Y4szc0vAUUy54bO+61OEeHnPjMCAPzjuk+EU89RvOV9Xw+1AaArnKsIXHBSywGzwGmwaNE80V/8Y0GQAE3ayFFwXF52aIpLQvFqFW+2HJHOVb2rm0joKq1q08EgxDA2O1j23WqqMKHcxClWhSjez5hiNk6m6OHA6+3dCMqwY17fZfQsZwtr2yR/wAFYK8bkc5juB+XNaoS7KjHOHV/gXZ1oMhafDrjM4c1iKVSD9tk5w+71EaEbJTjaHGR9PsjojAkuCXoe3qNwnLXLK0aEywBSCgHLuZKgstBXQVSHhd/VHNOgKMVPkPZYWp8R7rZ4nWGU9ljam57qkTIivLy8qJNovMOqjKix2q40drJ3BV1s7RDVyrbZ2idCsFuTqjLZ+iAuTqi7Z2iKCwS/Oquw46Ie/Ksw94hFCvI0e7RZzEPjCevqCFn79/mToHoa2B0R4KU2NUQiq101rSZ2H+EqCzGeM6k1mD/AEzHQkgD+1lL6IaeQKd+IKmaoDO0T7zqfVZ19SQAeH/K3QVRRkm7kzVeCrIOJed9h0X0SkYWE8C1AQ4dZW4pvaNSQFxl9jvClFBrFF4VZvqTBLnsHchUsxii50Ne08oKlxZ0UkXlii8tAklEVX+WVisabWqvLc2Rg36nl1U0mxuTSDsR8QUmHK053cht7pWx1zWM/A09YKVPY2kJH/tpJ5kTsOqjZ3tZ7nBrJyDMc1QzEwYMxK6qGLRyc80zXW+Hva3V5fPA6+xWF8ZYcWPa8DQiPULcYPcPLBnBE8CZ91ZjWFtr0yxw7HkVzjLrLJUo9o0j4+CjbasPUb/cKm/tXMcWkatJafRD03aytWzJlM1+F4qWEHfmNpH3Wvt8Za8SD6cV8xa45J/O6cYTe5onfYrhOPp3jLw3RxUc1W/FuqShdAXKi7GbsWKrfijkvXimBfWv3O0QamQoJgdXF1cQI05uAoC6EpL+5Kj+sVFFWOq90F6hehIn1SVxjzzRQWNbi61VlK9gJQSuEp0Kw+5upUKF3lQK8igGbsRlBVKpcVUuhAF7LkhD3d4XadVxwlB3jw1p5qorImxTiLx5jxkpFKNuq0yEvnRalozPZq/BNzldUAElrJA5n/K0T7So8F9Z+XTZuwWO8EvIumjg5rmn2kfRfScSsnvYWs+KNCdgeZXOeGdYZiYu/p02nVxb/vdr3iNPWEXgtvTc4FvmO4IcfoiKnhh2QRmFSTnfM5w7UyOkCE5wTB/02hhOaDm14OJkkRxQ2q2OKd6NDaGWRGwSfFaBOnBPabcqFuWAnVcZR9NEXYgt8OMO1nOCwgtaQGH+MEHuo2Ph5lMkgT07bSnTG5TCKDEObaoagrsFp26mWwrXqmo9czp1PmXjKmBWfA5OPqAs0xwlbXxdALxxc1vqBosTTGq18btGHlXyGD9R5eAA/tSsKsPjnv3GoP1ULaoARO2n2/pE3VHK5rhxJ9YMhN7olas1FF0tB6K0IaxdLB2CJWeWzsjhXCpEKKQyLlBWOUCmB4rikooESXpXoXlIyJU2qCm1AE1EqaiUARXl1cQB4LrjouBdcgCFR8BIsVuP49NegTe4fAHt8jCyt+4yZ3MLrx7Oc9Ar3yqagUyuEaLScGM/DVUMrsef4uBPY+U/VfZLaqC0L4Xa1sjg7hOvZfTfCuIF7MjjJbsebY0XHkRp4Gnhmu/RB6q5lINVdtUCsuKoDZXJneimtU1hduaMgHmEOymXNL+J2B00QP61ePOyIPAg6IbwKOGcvy9uo2bE9jp9UVa3YcOqXFjiZcTrwkwPRT/T5aFcm8nVDF70JWqBcpuJGqrcJSsGzD+Na/nbG0QY+X1PuFlw1vI/LdaTxe0Z2gHeSfQgCfzgs3rz0lbOP6owcn2Z5jtdtNimZqhzGDi1478QlofJE7bHkimtj5ahW0SjT4b8PaAjUuw0wD1P9JisstnZaPFRXSuJFHiowuheTA8QoKblBAgt1qVU+gQtA6iFB1sFw7nXqZ99IhcaE/rWohU0bKVSmhdBUCuFMbm0hRp2GYJ9lRPRi0ryKubQtVVOgSn2QqZWAuq11q4KpzCN07QUD3TJCy2JN82vIe61jz+c1n8btSBmHr+eq6cbyRNYEobP0Ua7IIHuiKEAT6DqVAMl2q1Gdg4botJ4XxtlKWPlustdBPdpA24pGGQCOX+P7Tzwh4f/AHBNR7g2mx2UyCS5xGjQBqIkHrsplVZHFtPB9Ht7kwHAyCPqrK9RzhptOqRYWTbOFrUeHS3NRfsHsP8AHUnzN+kcin7Nu6yyWTZGVohcYxTpDzZuwaT89kor+LmHQU3xO5dlPsAU7q0GvZlcPuDzCTV8Ke34Hj/ypg/2m9Gng/h/vsV3HiOs90U2ho5xPu4/0FZhlOvUeS+o4sA2GgJ4CRujqWGPJGckjkBlCaMoFogAActlDtHXl5OKqgiuiS0QoXFUNBK7cvyhZnHcQLmljTw8x6clKVsyylSMjjt/+rWe4Hyjyt7Dj7pc0TELzviK9QHmhb0qR58nbCabefDZXtYee/5quvp8eCtaPL1H9JMpDKwrZYaTv6jsm9OpKzD3xBnbgjbO/wD8c1xlH06RkPivFD0K4cFdK5nQkFwrwXnIA5K4vLiBGvLVwjVWwuOaslGgjWGi5atVlUaL1sEvB+gt0NUVZUxCovBqirEaJvQLYFiNMKvDrcFF4i3RV4Wmn8SX9g19mI2SDFKAC1bhos7jISg8jklQppW2adNhP57KnErMOBaNg2Xu9JDR1j6ppZkNGY7RqkGLYu39N7GcXOzOGoiIgHiYgLRBScsHKXVRyYq8dDiBsCrHPG/MfMBVvZmJgaASqnknRbkY2gnNIlPfCfiRlq5zajXFjnZw5kZ2OiCY0zAwOIj1WdtzuO0fRVXejtNuCKtZFdDrxR4g/c1mvptcxlNobTBIzDWS4kaAzy5BPcA8ZCAy4MHYP4H/AHDgeu3ZYNquDfKhxTVDjJxdo+02t8x0Q4EHYgyE1pZV8f8AC15kf+m4w1/w9Hj7/ZbT9zWZoCHDhMys8o9WaYy7I076wmOCGuLloWYqXlc8AFU9r3fG4nouUmdU/wDC3FcRzktZ2n7JHejKw9kyLAOCX4rowjmiL0hS9ZjmmHIsMBBjf8lU3FIg+isaY166/dbVoxNZCqVTMCPX7qTH6Rxnh1VDD5/WPsu0nTI/NCEmhpnQ4nffrooNqRBGvAqNKq2Tm5fNXsoA5BEcSfePc/RJjGNlWk6GDw5FO6VSR9e6zjKRBjcHUHsm9hUkQfz8hcZI6xYwC6VELhKgo6uFdlcJQBtGrz1BhUnFZmjtZKoNFy23Xamy9bboawP0ovBqi8PGiHu90Vh+yTWB+lOJjRD4WisTGhQuF7oX1F6Oo0WdxgbrRkaJBi7d0orI5aM9jFRzbV5adTlHLQuAOvZZK4pABrAe55nkBwA291rK9FtVlXNsxhDBwDoJL44nYDlrzWLs6h/UZOsENE+w7DVbuHCZl5Noi+q1umU9RtMIYvBHL++aIvrZ+YnLoduziY9NCqLill+g+60J2jg1TLr2k1jwGH+IJ6SJQVy3VWNJJk7qWSUJUhN2wKFdTOii5uq61qYiwOIEgwRseIX0vw/dfrUWE/FlE9+a+dCnEEjQAE+p/taLwnfZPLwHzC5cqwdeKVSNi5kaFU1qaagB7Q4ctwhqrDyWRmtCM0yTCCv7XdaO1ttS4hJcdqtZJJAH5p1VR2KWjJ4hSI1A6FC5NCOmivur/OdNG8J3J5lUtfIAnutkU0smOTTeCpp8zD79x+BdzwXnv815kAg+vz0VTzMgcVRKINbsibao4Hpp7qrNqeg0Uo0MJUOxl+5kt6E/OEXb1QHiDIKRU3mQFdTeQd+OihxLUjXMepgrPMxYsMO1HeCmNtidN/8ALKf+7T57LlKDR0UkxiuLgK6oKNdTcrHIag+Va5y5NHVMvedFy2Oqi46LlsdVLQ7JXe6Jw9C3R1RFgUmsB6cxLYoXDN0ViOyEw3dCWA9HoGiRYw3Qp83ZI8ZOhSjsb0Zy0ZmZVYf5Zu+rZHzCwtS3I84HlL3Nnq38Pst0+5FJr3nfIYHNxyho9Sr7TA2PtWsdIcZM8nnUn6LTGXXL9OMo9jLXV01zA+BJA9wZge5SS/rDYafmqJug9jnU9Dkc7Ubk6D20HuldRk+60wVIzTds7TGhPL7hWnbudUOzRXNcYj81VkHqdMF3ReqtA/PzgpWzoBJ/Of51VD3Sfz1KANb4KDKjrmm8hrH27sxds3IdHk8A2ZlKsPtaozPYwuYxzQ5zdQHOnKBxdMHaeHNCWF4+lnDCP/spupPkfwfExyOnzKm51V1A0mscWZ/1XkbS1paNOMAn5JySayTFtO0fQ/D16dabw5jgJyuBaYPQojEL5lLV7g0epJ46AalZGvj7ajaWSm9tVsNn9TOCCAMrQRm+LUA7ZnDXSND4exihV/UZVeWvcwtMjKGsBGYh20mRpvoVnlw/I0rm+P6LMS8W5WE0GEySzO/SDAIIZxmTE/6TokWF2dW/e/PVgsaDLm5pzExAEQJG/ZFeI8FdScylSL6oe1z5DCNGwG6CZiTr1QfhTF2W1cvqZsjmOY7KJMyHNMdx811jCMVg5SnKWxdfYVWpEh7HANMF0EtPUOjbVUUmQOcrWeIfEzKzMjGuDCIJfAmeQBKzudpENBjievUpsS/QN7jK8Onr0HJeeJOnBRLo6pjLqdNupJnnwHbqom4HJUCp7K51H+TTMfRAEmV44K0GDm4/2qbamHOA2B49vwKVwRrHYduaBWVvdPpPqvMcVBpXUCGlliLmdW8jt6cloaFcPaHDj8ljmOTbCrzI7KfhJ9lE4Jq1suM6dM29hcymbagKy9F5aUxoXWqytGlMeF2i7bHVDsrCFbQdqocSlIuuirrAoa5KtsXKWik8luIbITDzqib86IKxd5keB6Pw+BJ2hZ7GLmQcoJHPYH1Oseib1YcBIkAgxzj8CUYkS+Ts0SO5G6UVkJGdrWpeGudrDthtIBLR2JAC0GI4oyjQL5kubna0cY2/2jbVAUtWhkTmkREz0AnfXj1WRxCmGtqio5xqB4axs6ZZdJPaD/7TxXaMezycpS6q0KLi6c9znHd/mcY21Mx+cEPV2j5qbmHTpoeq5WAkA6CPmtiMzKaFMuMfm42Vl9A0btxUqLMjS4HUiB0nSfquX5AygD+ITJKmk5AOZT7AMNpPo16tQZhTZLQCQQRJ9zoPVIOA9f6RdpfuZTfTGz8snkGnMR7gIQMIxr9u14NsXuYWAkP3a/XMJI1G3vuVoXXtBlmDTeM7wWtbu4To8uHCATqdzCVXPh+uy2ZcvaGse/LBkPG8FzSNAYPy5oK0tXVHsptIBe9rATsC9waCemqpqyU6KBAHZUPiYImdQV9YwfwbTsqtSvWex7GMa9j3tjI4Zs5LJIJENg/93NfNvEd22tcPrMZka97i1uggaASBxMSepKGJM+k2fiij+2/dPADoFMU2iHOe0S5rJ4SZngCvl9+81HveQAXuLiGiGgkzAHJRZJjc8hvvwAWhreCr5uSaM5yAAHNOQkT5/wDSIB16c4CKGZe6fMRwH/Cd/uKYtwGxL/i20ynUd1R4gwKtaOa2qG+YEtLDmaYIDhqAeI4cUnJ5bKS9llWpMgbD5qkt0KtyAQ0bkSffT5fVTuKcNHU/LRAAwPBSa/KdPyey8SNm7qbaZk6ZoBOnD/CAOsMOjp/Wqg98uPsvMeQ7N1+S68CZGx26dEBsixSXDoe65P1TJLOKuY7j1Q5KsYdEAbZqtarbi3hVBYU7NrVBVO5I0KZWNaSkoV1GsWlMDRXBBC9ZO1Sv95KNsXyVMkCYdeu0S+zPmR103RLrY+ZS0VeR6wyEpvNAWHht1H3TSk7RL8UE+xSRTFttSzN03BkenD86LF+KKgdcOcNtJ/3QM3zlat9+KTHEzMGAPusDdVi9xJ4kn3Wjhi7sz8slVEgzZ28ug9uKHvK2YRliNR6r1tcOGnp2lVvadfzqtJxOUxIJPT2C7dN6qMHifZV1CXHuUEk2EZeyIwWoxtxSdUHkbUY5/HyhwJnmFVUp5RCHYNQeqED0fR/+o+NB72WzHAsZD3kGQ57xLRI3Aa6f/LosUxxBBBggggjcEagjqisLsXV6tKiwgOqPDATsJ4nsJK3ND/pi7O4VLgZA0ZXNZ5i4kyC0nQCBxMzwhWQhF4h8WPu6FJjiWubP6zQBlqFuUseDuP5S3nBWYubV5pirkdkD8hfHlzETlnnEKy8oGm97CZNN7mEjiWuLSR7J/h1424sqljtUFQVKRjQyWgtJ4HryPRJgjNW7y0te0w5rmvb0c0hw07gL7DY+NLZ9v+s94Y5uj6ZMvD/9LG7vBgwR6xBXznxH4ZqWTaZe9jm1JALZ0cACQQRyO6RFAxt4nx197WzkZWtGVjNy1u5Ljxcdz6DgkWTVNsJw2pXLhSiWgEy6MwdIEab6dEPd4dUbTFVzcrC4t3adQYOgM7/RIpYAM0PaeUfLdWXm0cv60VNUCQRxVrnZoB5gf0kM41omQI0mERhd01rnh+z2ls8jrBPRC1nwT7dkPT3QBc1/DZWNJG8HoVWwT3XMs90Adqf2oTqVMulVOOqBFimwqoFSaUxH/9k=",fiction,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1239313104l/6390091.jpg,,
Ali and his Russian Mother,علي وأمه الروسية,"A fresh, daring voice in arabic literature today. Alexandra Chreiteh’s Ali and his Russian Mother is at once an ordinary and extraordinary story of two young people in Lebanon. At the outbreak of the July War in 2006, the novel’s unnamed young protagonist reconnects with her childhood friend and develops a little crush on him, as they flee the bombs unleashed upon their country by Israel. Displaced, along with a million others across the country, she and her Russian mother have joined an evacuation for Russian citizens, when she again meets up with Ali, her former schoolmate from the South, who also has a Russian (Ukrainian) mother. As the two friends reunite, chat, and bond during a harrowing bus caravan across the Syrian border to Lattakia, en route to Moscow, Chreiteh’s unique, comic sense of the absurd speaks to contradictions faced by a young generation in Lebanon now, sounding out taboos surrounding gender, sexual, religious, and national identities. Carrying Russian passports like their mothers—both of whom married Lebanese men and settled there—they are forced to reflect upon their choices, and lack of them, in a country that is yet again being torn apart by violent conflict. Like Chreiteh’s acclaimed first novel, Always Coca-Cola, this story employs deceptively simple language and style to push the boundaries of what can be talked about in Arabic fiction. Again focused on the preoccupations of young people and their hopes for the future, Ali and his Russian Mother represents a fresh, daring voice in Arabic literature today.",Alexandra Chreiteh,Michelle Hartman,Interlink Books,2009,2015,woman,Lebanon,https://www.goodreads.com/book/show/26510168-ali-and-his-russian-mother,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367547454l/8264785.jpg,https://ase.tufts.edu/ilcs/images/facultyChreiteh.jpg,finction,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367547454l/8264785.jpg,,
Always Coca-Cola,دايماً كوكاكولا,"Always Coca-Cola is the story of three very different young women attending university in Beirut: Abeer, Jana, and Yasmine. The narrator, Abeer Ward (fragrant rose, in Arabic), daughter of a conservative family, admits wryly that her name is also the name of her father s flower shop. Abeer's bedroom window is filled by a view of a Coca-Cola sign featuring the image of her sexually adventurous friend, Jana.",Alexandra Chreiteh,Michelle Hartman,Interlink Books,2009,2011,woman,Lebanon,goodreads.com/book/show/12514971-always-coca-cola,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348841046l/12514971.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367547359l/7323278.jpg,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367547359l/7323278.jpg,,
Rain Over Baghdad,مطر على بغداد,"What was it like to live in Iraq before the earth-shaking events of the end of the twentieth century? The mid seventies to the late eighties witnessed Saddam Hussein's rise to power, the establishment of Kurdish autonomy in the north, and the Iraq-Iran war. It also brought an influx of oil wealth, following the 1973 war and the spike in oil prices, and a parallel influx of Arab talent, including many Egyptians, as the Egyptian left became disenchanted with Sadat. The massive migration also extended to workers and peasants, some of whom created an entire Egyptian village just outside Baghdad. We witness all of this and more through the eyes of an Egyptian woman married to an engineer working in Iraq. The narrator, who works for an Egyptian magazine's bureau in the Iraqi capital, has a behind-the-scenes view of what was really happening at a critical juncture in the history of the region. Moreover, she has a mystery to solve: an Iraqi woman from the marshes in the south of Iraq, who is also a communist journalist, has disappeared, and as the mystery unfolds we learn of her love for an older Egyptian Marxist journalist. This is Iraq before and beyond Saddam, Iraq as the Arabs knew it, in the lives of interesting people living in a vibrant country before the attempted annexation of Kuwait and the American invasion. This is the Iraq that was",Hala El Badry,Farouk Abd Al Wahab,American University in Cairo Press,2010,2014,male,Egypt,https://www.goodreads.com/en/book/show/17678411-rain-over-baghdad,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367224698l/17678411.jpg,https://aucpress.com/wp-content/uploads/2016/10/HalaElBadry.jpg,,Egypt,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432909138l/25625215._SX318_.jpg,,
Invitation to a Secret Feast,,,Joumana Haddad,Khaled Mattawa,Tupelo Press,,2008,Male,Lebanon,https://www.publishersweekly.com/pw/translation/search/index.html,https://m.media-amazon.com/images/I/41-6SJoT9CL._AC_UY327_FMwebp_QL65_.jpg,,Fiction,,,,
Syria Speaks,,,Malu Halasa,Nawara Mahfoud,Saqi,,2014,Female,Syria,https://www.publishersweekly.com/pw/translation/search/index.html,https://m.media-amazon.com/images/I/51v1ez3wUaL._AC_UY327_FMwebp_QL65_.jpg,,Fiction,,,,
Others,,,Siba al Harez,Marilyn Booth,Seven Stories Press,,2009,Female,Saudi Arabia,https://www.publishersweekly.com/pw/translation/search/index.html,https://sevenstories-prod.s3.amazonaws.com/images/000000/425/open-uri20160317-55734-pxs072-0e840a013574165daede7befef54a8c3.,,Fiction,,,,
Beirut Noir,,,Iman Humaydan,Michelle Hartman,Akashic Books,,2015,Female,Lebanon,https://www.publishersweekly.com/pw/translation/search/index.html,http://akashicbooks.wpengine.netdna-cdn.com/uploads/BeirutNoir.jpg,,Fiction,,,,
Other Lives,,,Iman Humaydan,Michelle Hartman,Interlink,,2014,Female,Lebanon,https://www.publishersweekly.com/pw/translation/search/index.html,https://www.interlinkbooks.com/wp-content/uploads/2018/12/9781566569620-600x917.jpg,,Fiction,,,,
Weight of Paradise,,,Iman Humaydan,Michelle Hartman,Interlink,,2016,Female,Lebanon,https://www.publishersweekly.com/pw/translation/search/index.html,https://www.interlinkbooks.com/wp-content/uploads/2018/12/9781566560559-600x913.jpg,,Fiction,,,,
Beyond Love,,,Hadiya Hussein,Ikram Masmoudi,Syracuse University Press,,2012,Female,Iraq,https://www.publishersweekly.com/pw/translation/search/index.html,https://press.syr.edu/cover/1216.jpg,,Fiction,,,,
American Granddaughter,,,Inaam Kachachi,Nariman Youssef,Bloomsbury,,2010,Female,Iraq,https://www.publishersweekly.com/pw/translation/search/index.html,https://kms.jadaliyya.com/Images/357x383xo/AGD.gif,,Fiction,,,,
Cigarette Number Seven,,,Donia Kamal,Nariman Youssef,American University at Cairo,,2018,Female,Egypt,https://www.publishersweekly.com/pw/translation/search/index.html,https://aucpress.com/wp-content/uploads/2017/09/4168505-658x1024.jpg,,Fiction,,,,
